agency, firename, lat, lon, startdate, hectares, stage_of_control, timezone
bc, 2023-V11051, 49.4222, -121.864, 2023-07-02 00:29:00, 0.01, OC, PDT
qc, 502, 54.5136, -77.1606, 2023-06-21 16:00:00, 2798.6, OC, EDT
ab, SWF-064-2023, 54.896, -116.1, 2023-05-04 23:03:00, 40060, UC, MDT
mb, NO057, 55.8553, -95.645, 2023-06-30 05:00:00, 200, OC, CDT
qc, 501, 54.4906, -77.3303, 2023-06-21 15:00:00, 3478, OC, EDT
ab, MWF-038-2023, 57.4602, -113.39, 2023-06-29 20:01:00, 569, BH, MDT
ab, PWF-079-2023, 57.7076, -118.326, 2023-06-29 23:15:00, 6, OC, MDT
ab, SWF-111-2023, 55.4928, -114.589, 2023-06-28 22:35:00, 2.8, UC, MDT
bc, 2023-G60666, 55.9468, -124.545, 2023-06-08 02:14:00, 41831.6, OC, PDT
bc, 2023-G60861, 55.3665, -124.443, 2023-06-24 04:30:00, 3059.47, OC, PDT
bc, 2023-G81057, 57.072, -121.603, 2023-07-02 02:28:00, 0.01, OC, PDT
bc, 2023-K71032, 50.662, -123.085, 2023-07-01 18:57:00, 7, OC, PDT
sk, 23LF-FOX, 54.5025, -104.401, 2023-07-01 15:56:41, 1.5, OC, CST
nt, ZF017-23, 63.3167, -115.1, 2023-06-30 15:50:00, 300, OC, MDT
nt, ZF016-23, 63.2385, -114.824, 2023-07-01 23:20:00, 30, OC, MDT
nt, ZF015-23, 62.9383, -115.105, 2023-06-28 23:00:00, 500, OC, MDT
nt, ZF014-23, 63.2415, -114.374, 2023-06-29 22:57:00, 200, OC, MDT
bc, 2023-G60651, 56.3722, -124.745, 2023-06-07 00:04:00, 13784.3, OC, PDT
bc, 2023-G60655, 55.9945, -124.082, 2023-06-07 02:16:00, 2992.49, OC, PDT
bc, 2023-V31038, 50.558, -123.028, 2023-07-01 21:25:00, 0.01, OC, PDT
ab, PWF-067-2023, 57.6495, -117.892, 2023-06-24 22:55:00, 1868, OC, MDT
ab, HWF-099-2023, 59.0115, -117.266, 2023-07-01 21:33:00, 9, OC, MDT
bc, 2023-G11060, 54.3363, -122.693, 2023-07-02 03:23:00, 0.01, OC, PDT
ab, SWF-103-2023, 56.8033, -115.089, 2023-06-21 22:36:00, 40.5, BH, MDT
qc, 533, 50.3594, -78.1033, 2023-07-01 13:00:00, 2987, OC, EDT
qc, 534, 50.8211, -76.1183, 2023-06-30 13:00:00, 54385, OC, EDT
bc, 2023-K21008, 51.5152, -119.511, 2023-06-30 03:49:00, 0.2, UC, PDT
sk, 23SR-BOMPAS, 59.6417, -104.984, 2023-07-01 19:16:32, 20, OC, CST
ab, HWF-065-2023, 57.5528, -114.925, 2023-06-10 21:30:00, 1377, BH, MDT
mb, WE029, 53.1086, -99.8025, 2023-06-30 05:00:00, 0.1, UC, CDT
mb, EA050, 53.0383, -96.8603, 2023-06-07 05:00:00, 554, OC, CDT
ab, HWF-083-2023, 57.7994, -114.775, 2023-06-30 20:35:00, 7268.7, OC, MDT
bc, 2023-G60955, 55.5705, -123.372, 2023-06-28 03:22:00, 9.6, UC, PDT
bc, 2023-K21042, 50.5491, -120.128, 2023-07-01 21:46:00, 0.15, UC, PDT
bc, 2023-N71053, 49.0024, -116.621, 2023-07-02 00:11:00, 0.9, OC, PDT
ab, PWF-084-2023, 56.37, -116.93, 2023-07-01 04:14:00, 1, UC, MDT
bc, 2023-G11062, 54.2782, -122.201, 2023-07-02 03:52:00, 0.01, OC, PDT
nt, EV003-23, 67.108, -133.307, 2023-06-28 01:00:00, 25, OC, MDT
bc, 2023-K21056, 50.8081, -119.75, 2023-07-02 01:40:00, 0.15, BH, PDT
ab, HWF-058-2023, 58.1671, -118.42, 2023-06-05 01:03:00, 34655.9, OC, MDT
mb, WE027, 53.4722, -99.5917, 2023-06-29 05:00:00, 3500, OC, CDT
mb, WE033, 53.7014, -100.334, 2023-07-01 05:00:00, 0.1, UC, CDT
sk, 23SR-ANDERSON, 59.0413, -102.535, 2023-07-01 13:19:38, 75, OC, CST
mb, WE032, 53.5389, -99.5472, 2023-07-01 05:00:00, 0.1, UC, CDT
ab, HWF-098-2023, 58.8726, -117.991, 2023-07-01 21:03:00, 73.5, BH, MDT
ab, LWF-163-2023, 54.7463, -110.116, 2023-06-30 22:24:00, 175, BH, MDT
sk, 23SR-KINGSTON, 58.9695, -102.535, 2023-07-01 13:00:32, 20, OC, CST
mb, WE034, 55.0069, -101.186, 2023-07-01 05:00:00, 0.1, UC, CDT
mb, EA068, 52.1906, -98.7694, 2023-07-01 05:00:00, 8, UC, CDT
ab, SWF-063-2023, 54.9577, -115.681, 2023-05-04 22:05:00, 123670, UC, MDT
mb, WE031, 53.7072, -100.334, 2023-07-01 05:00:00, 0.1, UC, CDT
qc, 520, 53.7708, -73.2528, 2023-06-24 23:17:00, 6524.1, OC, EDT
sk, 23BN-RAY, 56.3912, -108.544, 2023-06-30 14:04:10, 1, OC, CST
sk, 23LF-MUSK, 54.1752, -103.963, 2023-07-01 10:42:12, 0.5, UC, CST
sk, 23LA-DAVEY, 54.9195, -105.442, 2023-07-01 15:55:30, 0.1, OC, CST
nl, 127, 47.3845, -53.3518, 2023-07-01 00:00:00, 1, UC, NDT
mb, NO067, 56.7194, -100.522, 2023-07-01 05:00:00, 0.2, OC, CDT
mb, NO059, 57.5, -98.4544, 2023-07-01 05:00:00, 0.3, OC, CDT
mb, NO060, 57.5197, -98.7125, 2023-07-01 05:00:00, 15, OC, CDT
mb, NO061, 53.7319, -97.0003, 2023-07-01 05:00:00, 75, OC, CDT
mb, NO062, 53.7828, -96.9439, 2023-07-01 05:00:00, 50, OC, CDT
mb, NO063, 56.7447, -100.522, 2023-07-01 05:00:00, 0.5, OC, CDT
mb, NO064, 56.7583, -100.565, 2023-07-01 05:00:00, 0.1, OC, CDT
mb, NO065, 56.2272, -101.273, 2023-07-01 05:00:00, 5, OC, CDT
mb, NO066, 56.2333, -101.628, 2023-07-01 05:00:00, 75, OC, CDT
mb, WE026, 54.9686, -101.114, 2023-06-24 05:00:00, 43.3, UC, CDT
mb, WE030, 53.1092, -99.8025, 2023-06-30 05:00:00, 0.1, UC, CDT
qc, 508, 54.6819, -74.8561, 2023-06-21 21:30:00, 4865, OC, EDT
mb, NO056, 53.9292, -97.0736, 2023-06-30 05:00:00, 2, BH, CDT
mb, NO058, 57.4958, -98.4594, 2023-07-01 05:00:00, 5, OC, CDT
ab, MWF-044-2023, 57.0673, -112.158, 2023-06-30 20:31:00, 5.75, BH, MDT
ab, HWF-072-2023, 57.6928, -116.02, 2023-06-24 01:48:00, 21813, OC, MDT
sk, 23DB-ATCHI, 54.5566, -103.023, 2023-07-01 08:39:01, 0.7, UC, CST
bc, 2023-V10588, 49.4837, -121.989, 2023-06-03 23:12:00, 767.2, BH, PDT
bc, 2023-G60853, 55.2402, -123.67, 2023-06-24 02:48:00, 9939.39, OC, PDT
bc, 2023-G60882, 56.1072, -125.241, 2023-06-24 23:17:00, 1068.44, OC, PDT
bc, 2023-G41035, 53.7139, -124.686, 2023-07-01 20:51:00, 1.88, OC, PDT
mb, NO055, 54.3497, -98.4075, 2023-06-29 05:00:00, 525, OC, CDT
qc, 496, 48.5811, -75.7872, 2023-06-12 23:33:00, 177.9, BH, EDT
bc, 2023-G70644, 55.3792, -120.083, 2023-06-06 20:15:00, 4427, UC, PDT
bc, 2023-G70645, 55.154, -120.67, 2023-06-06 20:41:00, 25095, BH, PDT
bc, 2023-G90709, 59.8265, -123.552, 2023-06-10 19:55:00, 33000, OC, PDT
bc, 2023-G91013, 59.6431, -123.224, 2023-06-30 21:33:00, 2300, OC, PDT
